Servide Code,Service Name en,Service Name ar,Net Price,start date for Net Price
1,Consultant Examination,كشف الاستشاري,400,4/17/24
2,Specialist Examination,كشف الأخصائي,315,4/17/24
3,Emergency Examination,كشف الطوارئ,315,4/17/24
13,AIR STERILIZATION,رسم استخدام جهاز تعقيم الهواء للأدوار,920.5,4/17/24
14,SPECIAL NATURE MEDICATIONS (NOT INCLUDE CHEMOTHERAPY AND INTRAVENOUD IRON ),حقن أدوية ذات طابع خاص (غير متضمنة أدوية الكيماوي والحديد الوريدي),717.5,4/17/24
15,IM INJECTION BY NURSE,حقنة عضل بواسطة التمريض,115.5,4/17/24
16,IV INJECTION,حقنة وريد,136.5,4/17/24
17,VEIN VIEWER USE,استخدام مظهر الأوردة,126,4/17/24
18,BLOOD TRANSFUSION  (NOT INCLUDE BLOOD COST ),نقل دم (غير متضمن كيس الدم),325.5,4/17/24
19,C.S.F TAPPING,بذل السائل السحائي,1620.5,4/17/24
20,CLEANSING ENEMA,حقنة شرجية تنظيفية,353.5,4/17/24
21,CRANIAL NERVE STIMULATION,استثارة الأعصاب المخية,2040.5,4/17/24
22,GASTRIC LAVAGE,غسيل معدة,752.5,4/17/24
23,INSERTION OF CANNULA BY PHYSICIAN,تركيب كانيولا بواسطة طبيب,234.5,4/17/24
24,INSERTION OF CANNULA BY ULTRASOUND ,تركيب كانيولا إسترشادًا بالموجات الصوتية,791,4/17/24
25,INSERTION OF PORTACATH NEEDLE,تركيب إبرة بورتاكاث,644,4/17/24
26,REMOVAL OF PORTA CATH,رفع بورتاكاث,374.5,4/17/24
27,IV INFUSION FOR MORE THAN 2 HOURS (PED),تركيب محلول وريدى لمدة أكثر من ساعتين (للأطفال),791,4/17/24
28,IV SOLUTION (ADULT),تركيب محلول وريدى (للكبار),234.5,4/17/24
29,IV SOLUTION (PED),تركيب محلول وريدي (للأطفال),234.5,4/17/24
30,IV INFUSION OF DRUGS UNDER MEDICAL OBSEREVATION (ADULT),حقن وريدى للأدوية تحت الملاحظة الطبية (للكبار),777,4/17/24
31,IV INFUSION OF DRUGS UNDER MEDICAL OBSEREVATION (PED),حقن وريدى للأدوية تحت الملاحظة الطبية (للأطفال),791,4/17/24
32,SMALL DRESSING (MAX.3 CM),غيار على جرح صغير الحجم (بحد أقصي 3 سم),147,4/17/24
33,MEDIUM DRESSING ( BETWEEN 3 CM TO 7 CM ),غيار على جرح متوسط الحجم (يتراوح من 3 سم إلي 7 سم),234.5,4/17/24
34,LARGE DRESSING (ABOVE 7 CM),غيارعلى جرح كبير الحجم (جرح أكبر من 7 سم أو الجروح التهتكية),374.5,4/17/24
35,NASOGASTRIC TUBE INSERTION,ادخال انبوب معدة من الأنف,465.5,4/17/24
36,PALATE STUFFING,حشو سقف الحلق,2702,4/17/24
37,PEENICILLIN SENSITIVITY TEST (NOT INCLUDED EXTRA PROCEDURES TAKEN INCASE OF ACTUAL SENSITIVITY ),اختبار حساسيه بنسيلين (غير متضمن إجراءات علاج الحساسية في حالة ظهورها),126,4/17/24
38,SUCTION THERAPY,علاج بالشفط,2040.5,4/17/24
39,NERVE BLOCK ANESTHESIA,تخدير العصب ,283.5,4/17/24
40,OBSERVATION OF CRITICAL ILL PATIENT IN SPECIAL SITUATION /HR ,ملاحظة بالطوارئ / ساعة,409.5,4/17/24
41,REMOVAL OF STRANGULATED RING ,إزالة حلقة خانقة,409.5,4/17/24
42,CONSCIOUS SEDATION AT ER,تهدئة واعية  في الطوارئ,409.5,4/17/24
43,AMBULATORY BLOOD PRESSURE 24 HRS,قياس ضغط الدم الإسعافي لمدة 24 ساعة,1095.5,4/17/24
44,AMBULATORY BLOOD PRESSURE  48 HRS,قياس ضغط الدم الإسعافي لمدة 48 ساعة,1995,4/17/24
45,DIAGNOSTIC TILTING TABLE ,استخدام المنضدة المائلة التشخيصية,2810.5,4/17/24
46,THERAPUTIC TILTING TABLE,استخدام المنضدة المائلة العلاجية,2082.5,4/17/24
47,FROZEN SECTION DURING OPERATION BY CONSULTANT,أخذ مقطع تجميدي أثناء عملية بواسطة استشاري,2646,4/17/24
48,PARACENTESIS,بذل تجمع سائل فى البطن,2268,4/17/24
49,E.C.G,رسم قلب عادي,245,4/17/24
50,ECHOCARDIOGRAPHY,موجات فوق صوتية على القلب,941.5,4/17/24
51,PEDIATRIC ECHO ,موجات فوق صوتية على القلب للأطفال,1414,4/17/24
52,STRESS E.C.G,رسم قلب بالمجهود,798,4/17/24
53,HOLTER MONITOR 24 HOURS,تركيب جهاز هولتر 24 ساعة,1732.5,4/17/24
54,HOLTER MONITOR 48 HOURS,تركيب جهاز هولتر 48 ساعة,2145.5,4/17/24
55,ICDS FOLLOW UP (SINGLE),متابعة بجهاز صدمات داخلي (أحادي) ,1319.5,4/17/24
